model_name,dataset,mae,mse,rmse,r2
Final_LSTM_model,train,0.3641186696453355,0.28718849636868976,0.5358997073788059,0.6682853261390069
Final_LSTM_model,test,0.32408555966582997,0.2166219141657112,0.4654265937456853,0.5907781602312601
